buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,16.0,2.267461277295729,100,50.0,44.10219120979309
100.0,2.0,100.0,0.0,100.03343746169121,200,100.0,45.101858615875244
150.0,3.0,100.0,13.0,101.0559509184125,300,150.0,46.091410636901855
200.0,4.0,100.0,15.0,106.62536864307572,400,200.0,47.02927541732788
250.0,5.0,100.0,0.0,109.44752835865918,500,250.0,47.94295644760132
300.0,6.0,100.0,0.0,108.41067868592208,600,300.0,48.865375995635986
350.0,7.0,100.0,0.0,106.21822895839986,700,350.0,49.80683612823486
400.0,8.0,100.0,0.0,105.87431100861573,800,400.0,50.75135374069214
450.0,9.0,100.0,0.0,75.19952696220413,900,450.0,52.08114981651306
500.0,10.0,100.0,0.0,109.90193391373978,1000,500.0,52.9910523891449
550.0,11.0,100.0,0.0,107.7255780648197,1100,550.0,53.91933798789978
600.0,12.0,100.0,0.0,106.68679850374598,1200,600.0,54.8566620349884
650.0,13.0,100.0,12.0,101.99418962200444,1300,650.0,55.83711075782776
700.0,14.0,100.0,0.0,105.58659625720884,1400,700.0,56.78420114517212
750.0,15.0,100.0,0.0,107.36590921249972,1500,750.0,57.715595722198486
800.0,16.0,100.0,0.0,109.50710752484358,1600,800.0,58.62877869606018
850.0,17.0,100.0,0.0,109.46763800626744,1700,850.0,59.54229116439819
900.0,18.0,100.0,0.0,110.83958467501435,1800,900.0,60.444496631622314
950.0,19.0,100.0,0.0,109.38253678158041,1900,950.0,61.35872030258179
1000.0,20.0,100.0,0.0,105.56039471793332,2000,1000.0,62.30604529380798
1050.0,21.0,100.0,0.0,4.023252908191438,2100,1050.0,87.16155505180359
1100.0,22.0,100.0,0.0,60.196288250719896,2200,1100.0,88.82278752326965
1150.0,23.0,100.0,0.0,58.93820003361229,2300,1150.0,90.51948046684265
1200.0,24.0,100.0,0.0,58.07925845612315,2400,1200.0,92.24126648902893
1250.0,25.0,100.0,0.0,63.609709165155024,2500,1250.0,93.81335353851318
1300.0,26.0,100.0,0.0,59.99076317909692,2600,1300.0,95.48027729988098
1350.0,27.0,100.0,0.0,56.953414153160445,2700,1350.0,97.23609852790833
1400.0,28.0,100.0,0.0,59.08561425919631,2800,1400.0,98.9285581111908
1450.0,29.0,100.0,0.0,58.61896243291592,2900,1450.0,100.63449144363403
1500.0,30.0,100.0,0.0,55.3445150884023,3000,1500.0,102.44135618209839
1550.0,31.0,100.0,0.0,58.44555022483324,3100,1550.0,104.15235114097595
1600.0,32.0,100.0,0.0,58.034408838412176,3200,1600.0,105.87546730041504
1650.0,33.0,100.0,0.0,56.80102326519916,3300,1650.0,107.63599944114685
1700.0,34.0,100.0,0.0,55.904620887112976,3400,1700.0,109.42476105690002
1750.0,35.0,100.0,0.0,56.80374644612953,3500,1750.0,111.18520879745483
1800.0,36.0,100.0,0.0,44.909611769876875,3600,1800.0,113.4119040966034
1850.0,37.0,100.0,0.0,56.130899439829065,3700,1850.0,115.19345474243164
1900.0,38.0,100.0,0.0,58.96913286649774,3800,1900.0,116.88925766944885
1950.0,39.0,100.0,0.0,57.86308384848531,3900,1950.0,118.61747598648071
2000.0,40.0,100.0,0.0,56.82136881345287,4000,2000.0,120.3773775100708
2050.0,41.0,100.0,0.0,4.054591886425521,4100,2050.0,145.04077291488647
2100.0,42.0,100.0,0.0,56.67773113081851,4200,2100.0,146.8051347732544
2150.0,43.0,100.0,0.0,57.95550986512572,4300,2150.0,148.53059697151184
2200.0,44.0,100.0,0.0,57.65674618202953,4400,2200.0,150.26499962806702
2250.0,45.0,100.0,0.0,58.66832280065686,4500,2250.0,151.96949744224548
2300.0,46.0,100.0,0.0,60.09032379517533,4600,2300.0,153.63365960121155
2350.0,47.0,100.0,0.0,56.894491292409704,4700,2350.0,155.39129948616028
2400.0,48.0,100.0,0.0,57.00771682293496,4800,2400.0,157.14544868469238
2450.0,49.0,100.0,0.0,58.01361077154723,4900,2450.0,158.86918258666992
2500.0,50.0,100.0,0.0,55.675680411306466,5000,2500.0,160.66529965400696
2550.0,51.0,100.0,0.0,58.67604594642121,5100,2550.0,162.36957263946533
2600.0,52.0,100.0,11.0,55.74448177603879,5200,2600.0,164.1634726524353
2650.0,53.0,100.0,0.0,52.55009876547541,5300,2650.0,166.06641936302185
2700.0,54.0,100.0,0.0,57.78860657711781,5400,2700.0,167.79686450958252
2750.0,55.0,100.0,0.0,54.510905354794915,5500,2750.0,169.63136053085327
2800.0,56.0,100.0,0.0,55.37271094199792,5600,2800.0,171.43730473518372
2850.0,57.0,100.0,0.0,55.874198648352696,5700,2850.0,173.22704005241394
2900.0,58.0,100.0,0.0,55.006500893233486,5800,2900.0,175.04500722885132
2950.0,59.0,100.0,0.0,57.70423673036327,5900,2950.0,176.777982711792
3000.0,60.0,100.0,0.0,57.23640003951946,6000,3000.0,178.52512335777283
3050.0,61.0,100.0,0.0,4.023401955151049,6100,3050.0,203.37971234321594
3100.0,62.0,100.0,0.0,57.691013700966536,6200,3100.0,205.1130850315094
3150.0,63.0,100.0,0.0,60.85756516866437,6300,3150.0,206.7562665939331
3200.0,64.0,100.0,0.0,55.07746134680239,6400,3200.0,208.57189202308655
3250.0,65.0,100.0,0.0,45.757394727437045,6500,3250.0,210.7573311328888
3300.0,66.0,100.0,0.0,57.41473899541619,6600,3300.0,212.4990451335907
3350.0,67.0,100.0,11.0,58.24369790958606,6700,3350.0,214.2159698009491
3400.0,68.0,100.0,0.0,56.29626925329767,6800,3400.0,215.99228692054749
3450.0,69.0,100.0,0.0,59.46242435712863,6900,3450.0,217.67402172088623
3500.0,70.0,100.0,0.0,57.47964410153453,7000,3500.0,219.41376876831055
3550.0,71.0,100.0,0.0,57.02962198110953,7100,3550.0,221.16724371910095
3600.0,72.0,100.0,11.0,56.990063876149485,7200,3600.0,222.92193603515625
3650.0,73.0,100.0,14.0,57.32847876225386,7300,3650.0,224.66627049446106
3700.0,74.0,100.0,0.0,56.30027428622359,7400,3700.0,226.44246172904968
3750.0,75.0,100.0,0.0,57.23203424394444,7500,3750.0,228.18973565101624
3800.0,76.0,100.0,0.0,58.06443217405774,7600,3800.0,229.9119610786438
3850.0,77.0,100.0,0.0,59.76928221211826,7700,3850.0,231.58506155014038
3900.0,78.0,100.0,0.0,58.623976670634285,7800,3900.0,233.29084873199463
3950.0,79.0,100.0,0.0,57.77387259236159,7900,3950.0,235.0217354297638
4000.0,80.0,100.0,0.0,61.15645264626108,8000,4000.0,236.65688633918762
4050.0,81.0,100.0,0.0,4.065224267323574,8100,4050.0,261.25577545166016
4100.0,82.0,100.0,12.0,61.68971381665599,8200,4100.0,262.8767919540405
4150.0,83.0,100.0,0.0,62.0792434281658,8300,4150.0,264.4876368045807
4200.0,84.0,100.0,0.0,60.114136920160625,8400,4200.0,266.15113949775696
4250.0,85.0,100.0,0.0,59.715034426909625,8500,4250.0,267.8257601261139
4300.0,86.0,100.0,0.0,58.37562731157828,8600,4300.0,269.53880429267883
4350.0,87.0,100.0,0.0,58.00841157815977,8700,4350.0,271.26269245147705
4400.0,88.0,100.0,0.0,59.07837374124224,8800,4400.0,272.9553599357605
4450.0,89.0,100.0,0.0,58.95800059993922,8900,4450.0,274.65148282051086
4500.0,90.0,100.0,9.0,56.45350440619027,9000,4500.0,276.4228525161743
4550.0,91.0,100.0,0.0,57.46024139497984,9100,4550.0,278.16318678855896
4600.0,92.0,100.0,0.0,58.75298611350411,9200,4600.0,279.8652284145355
4650.0,93.0,100.0,0.0,55.53484294007213,9300,4650.0,281.6659004688263
4700.0,94.0,100.0,0.0,59.66247200946109,9400,4700.0,283.34199619293213
