buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,16.0,2.1897583933897438,100,50.0,45.667156457901
100.0,2.0,100.0,0.0,103.48395399467469,200,100.0,46.63349199295044
150.0,3.0,100.0,13.0,103.29668381093299,300,150.0,47.60157895088196
200.0,4.0,100.0,15.0,102.63370717451579,400,200.0,48.57591962814331
250.0,5.0,100.0,0.0,103.66314145261228,500,250.0,49.540584325790405
300.0,6.0,100.0,0.0,104.64838172284061,600,300.0,50.496166944503784
350.0,7.0,100.0,0.0,106.64147188126178,700,350.0,51.43389058113098
400.0,8.0,100.0,0.0,105.13468245561177,800,400.0,52.38505291938782
450.0,9.0,100.0,0.0,103.210337215457,900,450.0,53.35394859313965
500.0,10.0,100.0,0.0,104.41597264370345,1000,500.0,54.31165671348572
550.0,11.0,100.0,0.0,105.2522696983012,1100,550.0,55.26175594329834
600.0,12.0,100.0,0.0,102.48266668230428,1200,600.0,56.23753094673157
650.0,13.0,100.0,12.0,102.9755417670098,1300,650.0,57.208635568618774
700.0,14.0,100.0,0.0,104.53982506675334,1400,700.0,58.16520929336548
750.0,15.0,100.0,0.0,105.47794214725353,1500,750.0,59.1132755279541
800.0,16.0,100.0,0.0,103.45804542598859,1600,800.0,60.079851150512695
850.0,17.0,100.0,0.0,102.39035090931372,1700,850.0,61.056506633758545
900.0,18.0,100.0,0.0,103.90793344230406,1800,900.0,62.01889753341675
950.0,19.0,100.0,0.0,107.52505467511662,1900,950.0,62.94891381263733
1000.0,20.0,100.0,0.0,103.85902147328969,2000,1000.0,63.911757946014404
1050.0,21.0,100.0,0.0,4.026515167005996,2100,1050.0,88.74713015556335
1100.0,22.0,100.0,0.0,58.19024528032791,2200,1100.0,90.46563148498535
1150.0,23.0,100.0,0.0,56.4756015885271,2300,1150.0,92.23630833625793
1200.0,24.0,100.0,0.0,57.04573991421726,2400,1200.0,93.98928809165955
1250.0,25.0,100.0,0.0,59.076002233288506,2500,1250.0,95.68202328681946
1300.0,26.0,100.0,0.0,56.80430803851362,2600,1300.0,97.442453622818
1350.0,27.0,100.0,0.0,56.91342106827189,2700,1350.0,99.19950866699219
1400.0,28.0,100.0,0.0,57.07854685340913,2800,1400.0,100.9514811038971
1450.0,29.0,100.0,0.0,57.4600209849501,2900,1450.0,102.69182181358337
1500.0,30.0,100.0,0.0,56.43114358962975,3000,1500.0,104.46389365196228
1550.0,31.0,100.0,0.0,57.982533785787346,3100,1550.0,106.18855142593384
1600.0,32.0,100.0,0.0,60.49865510592411,3200,1600.0,107.84148120880127
1650.0,33.0,100.0,0.0,55.94412608577291,3300,1650.0,109.62897944450378
1700.0,34.0,100.0,0.0,59.73896789256083,3400,1700.0,111.30292892456055
1750.0,35.0,100.0,0.0,58.193418182640556,3500,1750.0,113.02133679389954
1800.0,36.0,100.0,0.0,56.69726033119127,3600,1800.0,114.78509068489075
1850.0,37.0,100.0,0.0,58.06690805465591,3700,1850.0,116.50724244117737
1900.0,38.0,100.0,0.0,58.2646046510788,3800,1900.0,118.22355103492737
1950.0,39.0,100.0,0.0,59.365183923193754,3900,1950.0,119.90804028511047
2000.0,40.0,100.0,0.0,57.21022305595843,4000,2000.0,121.65597987174988
2050.0,41.0,100.0,0.0,3.979015883859939,4100,2050.0,146.78782272338867
2100.0,42.0,100.0,0.0,56.334052567922676,4200,2100.0,148.56294870376587
2150.0,43.0,100.0,0.0,58.270546068252735,4300,2150.0,150.27908182144165
2200.0,44.0,100.0,0.0,54.60183708716537,4400,2200.0,152.11052298545837
2250.0,45.0,100.0,0.0,58.11196091346379,4500,2250.0,153.8313398361206
2300.0,46.0,100.0,0.0,58.633647067244034,4600,2300.0,155.53684544563293
2350.0,47.0,100.0,0.0,57.39739078385688,4700,2350.0,157.2790858745575
2400.0,48.0,100.0,0.0,58.829063883396174,4800,2400.0,158.97892594337463
2450.0,49.0,100.0,0.0,57.24853248141025,4900,2450.0,160.7256965637207
2500.0,50.0,100.0,0.0,55.93383056691643,5000,2500.0,162.5135235786438
2550.0,51.0,100.0,0.0,51.966660488277746,5100,2550.0,164.43783450126648
2600.0,52.0,100.0,11.0,45.3403321452087,5200,2600.0,166.64337682724
2650.0,53.0,100.0,0.0,41.87689544364676,5300,2650.0,169.03132891654968
2700.0,54.0,100.0,0.0,35.00844181491175,5400,2700.0,171.8877832889557
2750.0,55.0,100.0,0.0,57.1488522960483,5500,2750.0,173.63760042190552
2800.0,56.0,100.0,0.0,51.21814392745086,5600,2800.0,175.59003400802612
2850.0,57.0,100.0,0.0,53.085494104823724,5700,2850.0,177.47378826141357
2900.0,58.0,100.0,0.0,52.90193506903177,5800,2900.0,179.36407899856567
2950.0,59.0,100.0,0.0,41.978797539744356,5900,2950.0,181.7462341785431
