buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,16.0,0.8251355253757782,100,50.0,121.19221901893616
100.0,2.0,100.0,0.0,46.50146722893073,200,100.0,123.34268617630005
150.0,3.0,100.0,13.0,47.1504911209717,300,150.0,125.46355652809143
200.0,4.0,100.0,15.0,39.75565221083793,400,200.0,127.97892355918884
250.0,5.0,100.0,0.0,47.69650753593411,500,250.0,130.0755136013031
300.0,6.0,100.0,0.0,46.86324488471796,600,300.0,132.20938420295715
350.0,7.0,100.0,0.0,46.11146071487153,700,350.0,134.37804317474365
400.0,8.0,100.0,0.0,46.41098875904196,800,400.0,136.53270602226257
450.0,9.0,100.0,0.0,45.69973657547684,900,450.0,138.7209038734436
500.0,10.0,100.0,0.0,46.20257556834192,1000,500.0,140.88528656959534
550.0,11.0,100.0,0.0,48.21821102250031,1100,550.0,142.95919227600098
600.0,12.0,100.0,0.0,47.68718564012564,1200,600.0,145.05619263648987
650.0,13.0,100.0,12.0,47.88699397197364,1300,650.0,147.14444303512573
700.0,14.0,100.0,0.0,47.4711665255877,1400,700.0,149.25098633766174
750.0,15.0,100.0,0.0,49.10671248534896,1500,750.0,151.28736853599548
800.0,16.0,100.0,0.0,42.46306391220077,1600,800.0,153.64235711097717
850.0,17.0,100.0,0.0,48.02075298731206,1700,850.0,155.72479128837585
900.0,18.0,100.0,0.0,47.0377135720771,1800,900.0,157.85074663162231
950.0,19.0,100.0,0.0,48.479401330879256,1900,950.0,159.91347932815552
1000.0,20.0,100.0,0.0,48.80942267781622,2000,1000.0,161.96226501464844
1050.0,21.0,100.0,0.0,1.2662906683934552,2100,1050.0,240.9330770969391
1100.0,22.0,100.0,0.0,28.31253777178387,2200,1100.0,244.46508169174194
1150.0,23.0,100.0,0.0,29.960251613586195,2300,1150.0,247.80283880233765
1200.0,24.0,100.0,0.0,26.795497200603744,2400,1200.0,251.53481030464172
1250.0,25.0,100.0,0.0,29.567894498345193,2500,1250.0,254.9168574810028
1300.0,26.0,100.0,0.0,25.56254550370106,2600,1300.0,258.8288326263428
1350.0,27.0,100.0,0.0,29.62038096082851,2700,1350.0,262.20488715171814
1400.0,28.0,100.0,0.0,29.21356703978942,2800,1400.0,265.6279561519623
1450.0,29.0,100.0,0.0,29.926811630653994,2900,1450.0,268.96944284439087
1500.0,30.0,100.0,0.0,29.4574249910226,3000,1500.0,272.364173412323
1550.0,31.0,100.0,0.0,28.695518555569283,3100,1550.0,275.8490388393402
1600.0,32.0,100.0,0.0,29.319346255326153,3200,1600.0,279.2597575187683
1650.0,33.0,100.0,0.0,29.056888279928486,3300,1650.0,282.70128321647644
1700.0,34.0,100.0,0.0,29.30042106697078,3400,1700.0,286.1142044067383
1750.0,35.0,100.0,0.0,29.89353569566852,3500,1750.0,289.45941042900085
1800.0,36.0,100.0,0.0,27.443333035844912,3600,1800.0,293.10328364372253
1850.0,37.0,100.0,0.0,30.351281575726638,3700,1850.0,296.39803814888
1900.0,38.0,100.0,0.0,30.26899201891812,3800,1900.0,299.70175099372864
1950.0,39.0,100.0,0.0,31.52551777135404,3900,1950.0,302.8737859725952
2000.0,40.0,100.0,0.0,29.31770879350086,4000,2000.0,306.2846944332123
2050.0,41.0,100.0,0.0,1.2668130284396792,4100,2050.0,385.2229423522949
