buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
50.0,1.0,100.0,16.0,0.037437093698452634,100,50.0,2671.147522687912
100.0,2.0,100.0,0.0,61.242194887333625,200,100.0,2672.780384540558
150.0,3.0,100.0,13.0,52.76649235947757,300,150.0,2674.6755282878876
200.0,4.0,100.0,15.0,63.950692314412734,400,200.0,2676.2392344474792
250.0,5.0,100.0,0.0,64.49343341750905,500,250.0,2677.7897803783417
300.0,6.0,100.0,0.0,64.03617277704171,600,300.0,2679.351398706436
350.0,7.0,100.0,0.0,62.05177352537118,700,350.0,2680.962958097458
400.0,8.0,100.0,0.0,60.6175576710266,800,400.0,2682.6126453876495
450.0,9.0,100.0,0.0,60.56717320970478,900,450.0,2684.263705968857
500.0,10.0,100.0,0.0,57.579288992623546,1000,500.0,2686.00044298172
550.0,11.0,100.0,0.0,61.01523801128016,1100,550.0,2687.639379262924
600.0,12.0,100.0,0.0,59.132279076796884,1200,600.0,2689.3305044174194
650.0,13.0,100.0,12.0,59.21603037107576,1300,650.0,2691.0192375183105
700.0,14.0,100.0,0.0,56.28273192736001,1400,700.0,2692.795982837677
750.0,15.0,100.0,0.0,59.96246113051498,1500,750.0,2694.463693857193
800.0,16.0,100.0,0.0,60.340685808364164,1600,800.0,2696.1209511756897
850.0,17.0,100.0,0.0,59.69509602044459,1700,850.0,2697.796131372452
900.0,18.0,100.0,0.0,59.4517202399725,1800,900.0,2699.4781703948975
950.0,19.0,100.0,0.0,57.81417604505264,1900,950.0,2701.2078516483307
1000.0,20.0,100.0,0.0,58.594354310892186,2000,1000.0,2702.91450214386
